GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_store_to_release_ratio,gen_storage_efficiency,gen_storage_max_cycles_per_year
VN02_EWTE,EWTE,VN02,0,102.65,11.7655172413793,27.025,25,0,0,0,WTE,.,.,.
VN02_IMP,IMP,VN02,0,7000,3.412,0,50,0,0,0,IMP,.,.,.
VN02_STG_BTR,STG_BTR,VN02,0,.,.,2.116,15,0,0,0,Electricity,.,0.9,.
VN02_STG_PHS,STG_PHS,VN02,0,3400,.,1.61,50,0,0,0,PHS,.,.,.
VN03_EBGA,EBGA,VN03,0,128.07,10.0352941176471,0.115,25,0,0,0,BGA,.,.,.
VN03_EBIO,EBIO,VN03,0,762,11.0064516129032,2.875,25,0,0,0,BIO,.,.,.
VN03_ECCG,ECCG,VN03,0,.,5.68666666666667,0.138,25,0,0,0,LNG,.,.,.
VN03_ECCG_CCS,ECCG_CCS,VN03,0,.,6.56153846153846,1.4835,25,0,0,0,LNG_CCS,.,.,.
VN03_ECOA,ECOA,VN03,0,.,8.53,0.138,30,0,0,0,COA,.,.,.
VN03_ECOA_CCS,ECOA_CCS,VN03,0,.,10.6625,3.6225,30,0,0,0,COA_CCS,.,.,.
VN03_EGEO,EGEO,VN03,0,0,28.4333333333333,0.3795,30,0,0,0,GEO,.,.,.
VN03_EHYD,EHYD,VN03,0,4370.4,.,0.667,50,1,0,0,HYD,.,.,.
VN03_ENUC,ENUC,VN03,0,.,7.58222222222222,2.4035,60,0,1,0,NUC,.,.,.
VN03_EOIL,EOIL,VN03,0,.,11.3733333333333,0.23,30,0,0,0,OIL,.,.,.
VN03_EROR,EROR,VN03,0,1790,.,0.575,45,1,0,0,ROR,.,.,.
VN03_ESOL,ESOL,VN03,0,199763,.,0,40,1,0,0,SOL,.,.,.
VN03_EWIN,EWIN,VN03,0,17350,.,2.875,30,1,0,0,WIN,.,.,.
VN03_EWIN_OFF,EWIN_OFF,VN03,0,0,.,0,30,1,0,0,WIN_OFF,.,.,.
VN03_EWTE,EWTE,VN03,0,14.15,11.7655172413793,27.025,25,0,0,0,WTE,.,.,.
VN03_IMP,IMP,VN03,0,2600,3.412,0,50,0,0,0,IMP,.,.,.
VN03_STG_BTR,STG_BTR,VN03,0,.,.,2.116,15,0,0,0,Electricity,.,0.9,.
VN03_STG_PHS,STG_PHS,VN03,0,1200,.,1.61,50,0,0,0,PHS,.,.,.
VN04_EBGA,EBGA,VN04,0,162.52,10.0352941176471,0.115,25,0,0,0,BGA,.,.,.
VN04_EBIO,EBIO,VN04,0,741,11.0064516129032,2.875,25,0,0,0,BIO,.,.,.
VN04_ECCG,ECCG,VN04,0,.,5.68666666666667,0.138,25,0,0,0,LNG,.,.,.
VN04_ECCG_CCS,ECCG_CCS,VN04,0,.,6.56153846153846,1.4835,25,0,0,0,LNG_CCS,.,.,.
VN04_ECOA,ECOA,VN04,0,.,8.53,0.138,30,0,0,0,COA,.,.,.
VN04_ECOA_CCS,ECOA_CCS,VN04,0,.,10.6625,3.6225,30,0,0,0,COA_CCS,.,.,.
VN04_EGEO,EGEO,VN04,0,59.77,28.4333333333333,0.3795,30,0,0,0,GEO,.,.,.
VN04_EHYD,EHYD,VN04,0,1965.7,.,0.667,50,1,0,0,HYD,.,.,.
VN04_ENUC,ENUC,VN04,0,.,7.58222222222222,2.4035,60,0,1,0,NUC,.,.,.
VN04_EOIL,EOIL,VN04,0,.,11.3733333333333,0.23,30,0,0,0,OIL,.,.,.
VN04_EROR,EROR,VN04,0,1189,.,0.575,45,1,0,0,ROR,.,.,.
VN04_ESOL,ESOL,VN04,0,159320,.,0,40,1,0,0,SOL,.,.,.
VN04_EWIN,EWIN,VN04,0,4628,.,2.875,30,1,0,0,WIN,.,.,.
VN04_EWIN_OFF,EWIN_OFF,VN04,0,210122,.,0,30,1,0,0,WIN_OFF,.,.,.
VN04_EWTE,EWTE,VN04,0,46.38,11.7655172413793,27.025,25,0,0,0,WTE,.,.,.
VN04_IMP,IMP,VN04,0,0,3.412,0,50,0,0,0,IMP,.,.,.
VN04_STG_BTR,STG_BTR,VN04,0,.,.,2.116,15,0,0,0,Electricity,.,0.9,.
VN04_STG_PHS,STG_PHS,VN04,0,9400,.,1.61,50,0,0,0,PHS,.,.,.
VN05_EBGA,EBGA,VN05,0,414.2,10.0352941176471,0.115,25,0,0,0,BGA,.,.,.
VN05_EBIO,EBIO,VN05,0,2557,11.0064516129032,2.875,25,0,0,0,BIO,.,.,.
VN05_ECCG,ECCG,VN05,0,.,5.68666666666667,0.138,25,0,0,0,LNG,.,.,.
VN05_ECCG_CCS,ECCG_CCS,VN05,0,.,6.56153846153846,1.4835,25,0,0,0,LNG_CCS,.,.,.
VN05_ECOA,ECOA,VN05,0,.,8.53,0.138,30,0,0,0,COA,.,.,.
VN05_ECOA_CCS,ECOA_CCS,VN05,0,.,10.6625,3.6225,30,0,0,0,COA_CCS,.,.,.
VN05_EGEO,EGEO,VN05,0,18.1,28.4333333333333,0.3795,30,0,0,0,GEO,.,.,.
VN05_EHYD,EHYD,VN05,0,801,.,0.667,50,1,0,0,HYD,.,.,.
VN05_ENUC,ENUC,VN05,0,.,7.58222222222222,2.4035,60,0,1,0,NUC,.,.,.
VN05_EOIL,EOIL,VN05,0,.,11.3733333333333,0.23,30,0,0,0,OIL,.,.,.
VN05_EROR,EROR,VN05,0,344,.,0.575,45,1,0,0,ROR,.,.,.
VN05_ESOL,ESOL,VN05,0,247998,.,0,40,1,0,0,SOL,.,.,.
VN05_EWIN,EWIN,VN05,0,25581,.,2.875,30,1,0,0,WIN,.,.,.
VN05_EWIN_OFF,EWIN_OFF,VN05,0,174130,.,0,30,1,0,0,WIN_OFF,.,.,.
VN05_EWTE,EWTE,VN05,0,1122,11.7655172413793,27.025,25,0,0,0,WTE,.,.,.
VN05_IMP,IMP,VN05,0,0,3.412,0,50,0,0,0,IMP,.,.,.
VN05_STG_BTR,STG_BTR,VN05,0,.,.,2.116,15,0,0,0,Electricity,.,0.9,.
VN05_STG_PHS,STG_PHS,VN05,0,0,.,1.61,50,0,0,0,PHS,.,.,.
