TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
2050_d184,2050,1,24,1
2050_d185,2050,1,24,1
2050_d186,2050,1,24,1
2050_d187,2050,1,24,1
2050_d188,2050,1,24,1
2050_d189,2050,1,24,1
2050_d190,2050,1,24,1
2050_d191,2050,1,24,1
2050_d192,2050,1,24,1
2050_d193,2050,1,24,1
2050_d194,2050,1,24,1
2050_d195,2050,1,24,1
2050_d196,2050,1,24,1
2050_d197,2050,1,24,1
2050_d198,2050,1,24,1
2050_d199,2050,1,24,1
2050_d200,2050,1,24,1
2050_d201,2050,1,24,1
2050_d202,2050,1,24,1
2050_d203,2050,1,24,1
2050_d204,2050,1,24,1
2050_d205,2050,1,24,1
2050_d206,2050,1,24,1
2050_d207,2050,1,24,1
2050_d208,2050,1,24,1
2050_d209,2050,1,24,1
2050_d210,2050,1,24,1
2050_d211,2050,1,24,1
2050_d212,2050,1,24,1
2050_d213,2050,1,24,1
2050_d214,2050,1,24,1
2050_d215,2050,1,24,1
2050_d216,2050,1,24,1
2050_d217,2050,1,24,1
2050_d218,2050,1,24,1
2050_d219,2050,1,24,1
2050_d220,2050,1,24,1
2050_d221,2050,1,24,1
2050_d222,2050,1,24,1
2050_d223,2050,1,24,1
2050_d224,2050,1,24,1
2050_d225,2050,1,24,1
2050_d226,2050,1,24,1
2050_d227,2050,1,24,1
2050_d228,2050,1,24,1
2050_d229,2050,1,24,1
2050_d230,2050,1,24,1
2050_d231,2050,1,24,1
2050_d232,2050,1,24,1
2050_d233,2050,1,24,1
2050_d234,2050,1,24,1
2050_d235,2050,1,24,1
2050_d236,2050,1,24,1
2050_d237,2050,1,24,1
2050_d238,2050,1,24,1
2050_d239,2050,1,24,1
2050_d240,2050,1,24,1
2050_d241,2050,1,24,1
2050_d242,2050,1,24,1
2050_d243,2050,1,24,1
2050_d244,2050,1,24,1
2050_d245,2050,1,24,1
2050_d246,2050,1,24,1
2050_d247,2050,1,24,1
2050_d248,2050,1,24,1
2050_d249,2050,1,24,1
2050_d250,2050,1,24,1
2050_d251,2050,1,24,1
2050_d252,2050,1,24,1
2050_d253,2050,1,24,1
2050_d254,2050,1,24,1
2050_d255,2050,1,24,1
2050_d256,2050,1,24,1
2050_d257,2050,1,24,1
2050_d258,2050,1,24,1
2050_d259,2050,1,24,1
2050_d260,2050,1,24,1
2050_d261,2050,1,24,1
2050_d262,2050,1,24,1
2050_d263,2050,1,24,1
2050_d264,2050,1,24,1
2050_d265,2050,1,24,1
2050_d266,2050,1,24,1
2050_d267,2050,1,24,1
2050_d268,2050,1,24,1
2050_d269,2050,1,24,1
2050_d270,2050,1,24,1
2050_d271,2050,1,24,1
2050_d272,2050,1,24,1
2050_d273,2050,1,24,1
2050_d274,2050,1,24,1
2050_d275,2050,1,24,1
2050_d276,2050,1,24,1
2050_d277,2050,1,24,1
2050_d278,2050,1,24,1
2050_d279,2050,1,24,1
2050_d280,2050,1,24,1
2050_d281,2050,1,24,1
2050_d282,2050,1,24,1
2050_d283,2050,1,24,1
2050_d284,2050,1,24,1
2050_d285,2050,1,24,1
2050_d286,2050,1,24,1
2050_d287,2050,1,24,1
2050_d288,2050,1,24,1
2050_d289,2050,1,24,1
2050_d290,2050,1,24,1
2050_d291,2050,1,24,1
2050_d292,2050,1,24,1
2050_d293,2050,1,24,1
2050_d294,2050,1,24,1
2050_d295,2050,1,24,1
2050_d296,2050,1,24,1
2050_d297,2050,1,24,1
2050_d298,2050,1,24,1
2050_d299,2050,1,24,1
2050_d300,2050,1,24,1
2050_d301,2050,1,24,1
2050_d302,2050,1,24,1
2050_d303,2050,1,24,1
2050_d304,2050,1,24,1
2050_d305,2050,1,24,1
2050_d306,2050,1,24,1
2050_d307,2050,1,24,1
2050_d308,2050,1,24,1
2050_d309,2050,1,24,1
2050_d310,2050,1,24,1
2050_d311,2050,1,24,1
2050_d312,2050,1,24,1
2050_d313,2050,1,24,1
2050_d314,2050,1,24,1
2050_d315,2050,1,24,1
2050_d316,2050,1,24,1
2050_d317,2050,1,24,1
2050_d318,2050,1,24,1
2050_d319,2050,1,24,1
2050_d320,2050,1,24,1
2050_d321,2050,1,24,1
2050_d322,2050,1,24,1
2050_d323,2050,1,24,1
2050_d324,2050,1,24,1
2050_d325,2050,1,24,1
2050_d326,2050,1,24,1
2050_d327,2050,1,24,1
2050_d328,2050,1,24,1
2050_d329,2050,1,24,1
2050_d330,2050,1,24,1
2050_d331,2050,1,24,1
2050_d332,2050,1,24,1
2050_d333,2050,1,24,1
2050_d334,2050,1,24,1
2050_d335,2050,1,24,1
2050_d336,2050,1,24,1
2050_d337,2050,1,24,1
2050_d338,2050,1,24,1
2050_d339,2050,1,24,1
2050_d340,2050,1,24,1
2050_d341,2050,1,24,1
2050_d342,2050,1,24,1
2050_d343,2050,1,24,1
2050_d344,2050,1,24,1
2050_d345,2050,1,24,1
2050_d346,2050,1,24,1
2050_d347,2050,1,24,1
2050_d348,2050,1,24,1
2050_d349,2050,1,24,1
2050_d350,2050,1,24,1
2050_d351,2050,1,24,1
2050_d352,2050,1,24,1
2050_d353,2050,1,24,1
2050_d354,2050,1,24,1
2050_d355,2050,1,24,1
2050_d356,2050,1,24,1
2050_d357,2050,1,24,1
2050_d358,2050,1,24,1
2050_d359,2050,1,24,1
2050_d360,2050,1,24,1
2050_d361,2050,1,24,1
2050_d362,2050,1,24,1
2050_d363,2050,1,24,1
2050_d364,2050,1,24,1
2050_d365,2050,1,24,1
