fuel,co2_intensity,upstream_co2_intensity
NUC,0,0
LNG,0.131881967397605,0
BIO,0,0
BGA,0,0
WTE,0,0
GEO,0,0
IMP,0,0
COA,0.234456830929076,0
OIL,0.263763934795211,0
H2,0,0
NH3,0,0
COA_CCS,0.0234456830929076,0
LNG_CCS,0.0131881967397605,0
