GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
VN03_EGEO,2023,3655006.89009747,107188.721220127,.
VN03_EGEO,2050,3655006.89009747,107188.721220127,.
VN03_ENUC,2050,5968058.10526765,122958,.
VN03_EOIL,2022,632500,9000,.
VN03_EOIL,2050,632500,9000,.
VN03_EROR,1990,2801745,84870,.
VN03_EROR,2002,2801745,84870,.
VN03_EROR,2006,2801745,84870,.
VN03_EROR,2007,2801745,84870,.
VN03_EROR,2008,2801745,84870,.
VN03_EROR,2009,2801745,84870,.
VN03_EROR,2010,2801745,84870,.
VN03_EROR,2011,2801745,84870,.
VN03_EROR,2012,2801745,84870,.
VN03_EROR,2014,2801745,84870,.
VN03_EROR,2015,2801745,84870,.
VN03_EROR,2016,2801745,84870,.
VN03_EROR,2017,2801745,84870,.
VN03_EROR,2018,2801745,84870,.
VN03_EROR,2019,2801745,84870,.
VN03_EROR,2020,2801745,84870,.
VN03_EROR,2021,2801745,84870,.
VN03_EROR,2023,2801745,84870,.
VN03_EROR,2024,2801745,84870,.
VN03_EROR,2028,2801745,84870,.
VN03_EROR,2050,2801745,84870,.
VN03_ESOL,2020,631789.618611051,13968.9741396954,.
VN03_ESOL,2021,631789.618611051,13968.9741396954,.
VN03_ESOL,2023,631789.618611051,13968.9741396954,.
VN03_ESOL,2050,631789.618611051,13968.9741396954,.
VN03_EWIN,2021,900371.963368933,24115.5,.
VN03_EWIN,2023,900371.963368933,24115.5,.
VN03_EWIN,2050,900371.963368933,24115.5,.
VN03_EWIN_OFF,2050,1668417.99821067,76187.947867986,.
VN03_IMP,2050,0,0,.
VN03_STG_BTR,2050,200000,15500,140000
VN03_STG_PHS,2023,2656504.87817142,19313.1,.
VN03_STG_PHS,2050,2656504.87817142,19313.1,.
VN04_EBIO,2020,3567189.1066804,162722.7,.
VN04_EBIO,2050,3567189.1066804,162722.7,.
VN04_ECCG,2022,899208,24943.5,.
VN04_ECCG,2050,899208,24943.5,.
VN04_ECCG_CCS,2050,1536043.5,41814,.
VN04_ECOA,2014,2352244.5,66654,.
VN04_ECOA,2018,2352244.5,66654,.
VN04_ECOA,2024,2352244.5,66654,.
VN04_ECOA,2050,2352244.5,66654,.
VN04_ECOA_CCS,2050,3478428,94599,.
VN04_EGEO,2023,3655006.89009747,107188.721220127,.
VN04_EGEO,2050,3655006.89009747,107188.721220127,.
VN04_ENUC,2050,5968058.10526765,122958,.
VN04_EOIL,2022,632500,9000,.
VN04_EOIL,2050,632500,9000,.
VN04_EROR,1946,2801745,84870,.
VN04_EROR,1964,2801745,84870,.
VN04_EROR,1995,2801745,84870,.
VN04_EROR,2001,2801745,84870,.
VN04_EROR,2007,2801745,84870,.
VN04_EROR,2008,2801745,84870,.
VN04_EROR,2009,2801745,84870,.
VN04_EROR,2010,2801745,84870,.
VN04_EROR,2011,2801745,84870,.
VN04_EROR,2013,2801745,84870,.
VN04_EROR,2014,2801745,84870,.
VN04_EROR,2015,2801745,84870,.
VN04_EROR,2016,2801745,84870,.
VN04_EROR,2017,2801745,84870,.
VN04_EROR,2018,2801745,84870,.
VN04_EROR,2050,2801745,84870,.
VN04_ESOL,2020,631789.618611051,13968.9741396954,.
VN04_ESOL,2021,631789.618611051,13968.9741396954,.
VN04_ESOL,2023,631789.618611051,13968.9741396954,.
VN04_ESOL,2050,631789.618611051,13968.9741396954,.
VN04_EWIN,2021,900371.963368933,24115.5,.
VN04_EWIN,2023,900371.963368933,24115.5,.
VN04_EWIN,2050,900371.963368933,24115.5,.
VN04_EWIN_OFF,2050,1668417.99821067,76187.947867986,.
VN04_IMP,2050,0,0,.
VN04_STG_BTR,2050,200000,15500,140000
VN04_STG_PHS,2023,2656504.87817142,19313.1,.
VN04_STG_PHS,2050,2656504.87817142,19313.1,.
VN05_EBIO,2020,3567189.1066804,162722.7,.
VN05_EBIO,2050,3567189.1066804,162722.7,.
VN05_ECCG,1999,899208,24943.5,.
VN05_ECCG,2001,899208,24943.5,.
VN05_ECCG,2003,899208,24943.5,.
VN05_ECCG,2004,899208,24943.5,.
VN05_ECCG,2005,899208,24943.5,.
VN05_ECCG,2007,899208,24943.5,.
VN05_ECCG,2008,899208,24943.5,.
VN05_ECCG,2010,899208,24943.5,.
VN05_ECCG,2050,899208,24943.5,.
VN05_ECCG_CCS,2050,1536043.5,41814,.
VN05_ECOA,2004,2352244.5,66654,.
VN05_ECOA,2015,2352244.5,66654,.
VN05_ECOA,2017,2352244.5,66654,.
VN05_ECOA,2019,2352244.5,66654,.
VN05_ECOA,2021,2352244.5,66654,.
VN05_ECOA,2026,2352244.5,66654,.
