GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_store_to_release_ratio,gen_storage_efficiency,gen_storage_max_cycles_per_year
VN03_ECOA,ECOA,VN03,0,.,8.182,7.866,30,0,0,0,COA,.,.,.
VN03_ECOA_CCS,ECOA_CCS,VN03,0,.,10.207,12.6891,30,0,0,0,COA_CCS,.,.,.
VN03_EGEO,EGEO,VN03,0,0,31.0181818181818,0.34,30,0,0,0,GEO,.,.,.
VN03_EGEO,EGEO,VN03,0,0,.,0.34,30,0,0,0,GEO,.,.,.
VN03_ENUC,ENUC,VN03,0,.,10.447,3.23955,60,0,1,0,NUC,.,.,.
VN03_EOIL,EOIL,VN03,0,.,13.6,2.2,30,0,0,0,OIL,.,.,.
VN03_EROR,EROR,VN03,0,6160.4,.,0.46,80,1,0,0,ROR,.,.,.
VN03_ESOL,ESOL,VN03,0,3589649,.,0.01,30,1,0,0,SOL,.,.,.
VN03_EWIN,EWIN,VN03,0,223177,.,3.73,30,1,0,0,WIN,.,.,.
VN03_EWIN_OFF,EWIN_OFF,VN03,0,0,.,3.1,30,1,0,0,WIN_OFF,.,.,.
VN03_IMP,IMP,VN03,0,2600,3.412,0,50,0,0,0,IMP,.,.,.
VN03_STG_BTR,STG_BTR,VN03,0,.,.,2.06,15,0,0,0,Electricity,.,0.9,.
VN03_STG_PHS,STG_PHS,VN03,0,1200,.,14.4589,80,0,0,0,PHS,.,.,.
VN04_EBIO,EBIO,VN04,0,949.9,13.5,5.2164,45,0,0,0,BIO,.,.,.
VN04_ECCG,ECCG,VN04,0,.,6.159,1.6767,30,0,0,0,GAS,.,.,.
VN04_ECCG_CCS,ECCG_CCS,VN04,0,.,6.847,3.4362,30,0,0,0,GAS_CCS,.,.,.
VN04_ECOA,ECOA,VN04,0,.,8.182,7.866,30,0,0,0,COA,.,.,.
VN04_ECOA_CCS,ECOA_CCS,VN04,0,.,10.207,12.6891,30,0,0,0,COA_CCS,.,.,.
VN04_EGEO,EGEO,VN04,0,59.77,31.0181818181818,0.34,30,0,0,0,GEO,.,.,.
VN04_EGEO,EGEO,VN04,0,59.77,.,0.34,30,0,0,0,GEO,.,.,.
VN04_ENUC,ENUC,VN04,0,.,10.447,3.23955,60,0,1,0,NUC,.,.,.
VN04_EOIL,EOIL,VN04,0,.,13.6,2.2,30,0,0,0,OIL,.,.,.
VN04_EROR,EROR,VN04,0,3154.7,.,0.46,80,1,0,0,ROR,.,.,.
VN04_ESOL,ESOL,VN04,0,2973058,.,0.01,30,1,0,0,SOL,.,.,.
VN04_EWIN,EWIN,VN04,0,187380,.,3.73,30,1,0,0,WIN,.,.,.
VN04_EWIN_OFF,EWIN_OFF,VN04,0,5004668,.,3.1,30,1,0,0,WIN_OFF,.,.,.
VN04_IMP,IMP,VN04,0,0,3.412,0,50,0,0,0,IMP,.,.,.
VN04_STG_BTR,STG_BTR,VN04,0,.,.,2.06,15,0,0,0,Electricity,.,0.9,.
VN04_STG_PHS,STG_PHS,VN04,0,9400,.,14.4589,80,0,0,0,PHS,.,.,.
VN05_EBIO,EBIO,VN05,0,4093.2,13.5,5.2164,45,0,0,0,BIO,.,.,.
VN05_ECCG,ECCG,VN05,0,.,6.159,1.6767,30,0,0,0,GAS,.,.,.
VN05_ECCG_CCS,ECCG_CCS,VN05,0,.,6.847,3.4362,30,0,0,0,GAS_CCS,.,.,.
VN05_ECOA,ECOA,VN05,0,.,8.182,7.866,30,0,0,0,COA,.,.,.
VN05_ECOA_CCS,ECOA_CCS,VN05,0,.,10.207,12.6891,30,0,0,0,COA_CCS,.,.,.
VN05_EGEO,EGEO,VN05,0,18.1,31.0181818181818,0.34,30,0,0,0,GEO,.,.,.
VN05_EGEO,EGEO,VN05,0,18.1,.,0.34,30,0,0,0,GEO,.,.,.
VN05_ENUC,ENUC,VN05,0,.,10.447,3.23955,60,0,1,0,NUC,.,.,.
VN05_EOIL,EOIL,VN05,0,.,13.6,2.2,30,0,0,0,OIL,.,.,.
VN05_EROR,EROR,VN05,0,1145,.,0.46,80,1,0,0,ROR,.,.,.
VN05_ESOL,ESOL,VN05,0,5120915,.,0.01,30,1,0,0,SOL,.,.,.
VN05_EWIN,EWIN,VN05,0,111687,.,3.73,30,1,0,0,WIN,.,.,.
VN05_EWIN_OFF,EWIN_OFF,VN05,0,2002268,.,3.1,30,1,0,0,WIN_OFF,.,.,.
VN05_IMP,IMP,VN05,0,0,3.412,0,50,0,0,0,IMP,.,.,.
VN05_STG_BTR,STG_BTR,VN05,0,.,.,2.06,15,0,0,0,Electricity,.,0.9,.
VN05_STG_PHS,STG_PHS,VN05,0,0,.,14.4589,80,0,0,0,PHS,.,.,.
